,Name,Age,Nationality,Overall,Potential,Value,Wage,Preferred.Foot,Weak.Foot,Skill.Moves,Position,Contract.Valid.Until,Height,Weight,Release.Clause,Meter,Kilo
1934,Y. Mvogo,24,Switzerland,75,80,6500000,25000,Right,B,D,GK,2021,6.3,198,11500000,1.91,89.8
1935,Kaíquão Castro,34,Brazil,75,75,2700000,20000,Right,C,D,GK,2021,6.3,194,5100000,1.91,88.0
1937,P. Hurtado,27,Peru,75,75,7000000,18000,Right,A,A,CAM,2021,5.9,159,14000000,1.75,72.1
1938,D. Bocanegra,31,Colombia,75,75,4400000,6000,Right,C,C,RB,2019,6.0,168,6100000,1.83,76.2
1939,Melero,24,Spain,75,81,8000000,17000,Right,B,B,RCM,2020,6.0,170,19200000,1.83,77.1
1941,O. Murillo,30,Colombia,75,75,4900000,25000,Left,A,C,LCB,2022,6.0,170,8400000,1.83,77.1
1942,O. Onazi,25,Nigeria,75,78,7000000,25000,Right,B,B,RDM,2020,5.8,161,14500000,1.73,73.0
1943,C. Günter,25,Germany,75,76,6500000,20000,Left,C,B,LB,2022,6.0,183,12200000,1.83,83.0
1944,I. Amadou,25,France,75,80,7500000,14000,Right,B,B,CDM,2022,6.0,179,16300000,1.83,81.2
1945,Unai López,22,Spain,75,82,9000000,19000,Right,B,B,CM,2022,5.7,154,20700000,1.7,69.9
1946,K. Iheanacho,21,Nigeria,75,83,10000000,45000,Left,B,A,ST,2022,6.0,176,21000000,1.83,79.8
1947,C. Söyüncü,22,Turkey,75,83,8500000,43000,Right,A,C,LCB,2023,6.1,181,17900000,1.85,82.1
1948,B. Pearson,23,England,75,81,8000000,12000,Right,B,B,RDM,2020,5.9,157,16800000,1.75,71.2
1949,F. Niederlechner,27,Germany,75,75,7000000,25000,Right,A,B,ST,2020,6.2,190,12600000,1.88,86.2
1950,S. Denswil,25,Netherlands,75,79,7000000,19000,Left,A,B,LCB,2020,6.1,179,11000000,1.85,81.2
1951,G. Rodríguez,34,Argentina,75,75,2000000,18000,Right,B,C,LCB,2020,6.0,174,3000000,1.83,78.9
1952,P. Guiñazú,39,Argentina,75,75,450000,10000,Left,B,B,LCM,2019,5.9,150,675000,1.75,68.0
1953,H. Hateboer,24,Netherlands,75,80,9000000,22000,Right,C,B,RM,2020,6.2,163,16000000,1.88,73.9
1954,I. Fernández,28,Argentina,75,75,6500000,23000,Left,B,A,RCM,2021,6.0,148,9100000,1.83,67.1
1955,L. Blas,20,France,75,84,10500000,16000,Left,B,B,LDM,2021,5.11,161,23100000,1.8,73.0
1956,M. Sarr,19,France,75,84,8500000,11000,Left,A,C,LCB,2021,6.0,161,17900000,1.83,73.0
1957,Mikel Rico,33,Spain,75,75,3900000,21000,Right,A,C,CM,2019,5.10,165,8200000,1.78,74.8
1958,F. Neuhaus,21,Germany,75,85,10500000,19000,Right,B,B,RCM,2022,6.0,163,20000000,1.83,73.9
1959,S. İnan,33,Turkey,75,75,3900000,47000,Right,B,B,RDM,2019,6.0,163,7400000,1.83,73.9
1960,C. Maggio,36,Italy,75,75,775000,4000,Right,C,B,RB,2020,6.0,174,1200000,1.83,78.9
1961,Mexer,29,Mozambique,75,75,5000000,28000,Right,B,C,LCB,2019,6.2,174,9500000,1.88,78.9
1962,F. Magnanelli,33,Italy,75,75,2700000,40000,Right,B,C,CDM,2019,5.11,174,4600000,1.8,78.9
1963,J. Figal,24,Argentina,75,81,8000000,15000,Right,B,B,LCB,2022,5.11,141,12800000,1.8,64.0
1965,F. Helander,25,Sweden,75,77,7000000,25000,Left,D,C,CB,2020,6.4,185,12400000,1.93,83.9
1966,J. Gondorf,30,Germany,75,75,6000000,23000,Right,A,B,RM,2021,5.9,172,10800000,1.75,78.0
1967,R. Ghezzal,26,Algeria,75,76,8000000,54000,Left,B,A,RM,2022,6.0,154,15800000,1.83,69.9
1968,Adama,22,Spain,75,85,10500000,54000,Right,C,B,RW,2023,5.10,168,22100000,1.78,76.2
1969,O. Duda,23,Slovakia,75,82,9500000,22000,Right,A,A,CAM,2021,5.11,163,18100000,1.8,73.9
1970,R. Bensebaini,23,Algeria,75,79,7000000,23000,Left,B,B,LB,2020,6.1,165,13800000,1.85,74.8
1971,L. Depoitre,29,Belgium,75,75,6500000,47000,Right,B,C,ST,2019,6.3,201,12400000,1.91,91.2
1972,N. Vlašić,20,Croatia,75,84,10500000,1000,Right,A,B,LCM,2022,5.10,174,25200000,1.78,78.9
1973,Rochina,27,Spain,75,75,7000000,22000,Left,C,A,RCM,2021,6.0,168,14700000,1.83,76.2
1974,M. Doherty,26,Republic of Ireland,75,78,7000000,52000,Right,A,B,RWB,2021,6.0,196,13800000,1.83,88.9
1976,João Teixeira,25,Portugal,75,78,8500000,10000,Right,B,B,CAM,2021,5.10,168,18500000,1.78,76.2
1977,S. Ward,32,Republic of Ireland,75,75,3700000,42000,Left,S,B,LB,2019,6.1,176,7000000,1.85,79.8
1978,Y. Cardinale,24,France,75,78,6000000,18000,Right,B,D,GK,2021,5.11,185,11900000,1.8,83.9
1979,S. Francis,33,England,75,75,2700000,49000,Right,A,C,RB,2020,6.2,198,5100000,1.88,89.8
1980,Lafortiscinho,26,Brazil,75,75,5500000,20000,Left,B,B,LB,2021,5.10,165,10500000,1.78,74.8
1981,M. Valdifiori,32,Italy,75,75,3800000,13000,Right,B,B,CDM,2020,6.1,157,6900000,1.85,71.2
1982,Rubén Pérez,29,Spain,75,75,5000000,26000,Right,B,C,LCM,2022,5.10,161,10500000,1.78,73.0
1983,D. Boyata,27,Belgium,75,77,6500000,42000,Right,B,C,RCB,2019,6.2,190,12200000,1.88,86.2
1984,N. Mendy,26,France,75,77,6500000,50000,Right,B,B,RDM,2020,5.6,161,12800000,1.68,73.0
1985,A. Martín Arias,25,Argentina,75,80,6500000,11000,Right,B,D,GK,2020,6.1,174,10200000,1.85,78.9
1986,Pedraza,22,Spain,75,80,9000000,24000,Left,C,B,LM,2021,6.0,161,19600000,1.83,73.0
1987,Ricardo,35,Portugal,75,75,1600000,5000,Right,C,D,GK,2020,6.2,185,3300000,1.88,83.9
1988,Tarantini,34,Portugal,75,75,3200000,10000,Right,B,B,RCM,2020,6.2,172,6800000,1.88,78.0
1989,K. Stöger,24,Austria,75,80,9000000,24000,Left,B,B,RDM,2020,5.9,165,16900000,1.75,74.8
1990,C. Mbemba,23,DR Congo,75,80,7500000,10000,Right,B,C,CB,2022,6.0,181,15600000,1.83,82.1
1991,A. Limbombe,23,Belgium,75,79,8500000,21000,Right,S,A,LW,2023,5.9,170,16800000,1.75,77.1
1992,K. McDonald,29,Scotland,75,75,5000000,46000,Right,A,B,RDM,2020,6.4,212,9500000,1.93,96.2
1993,O. Niasse,28,Senegal,75,75,7000000,82000,Right,B,B,ST,2020,6.0,181,13300000,1.83,82.1
1994,G. Herrera,26,Argentina,75,78,6000000,12000,Left,C,D,GK,2020,6.2,185,9500000,1.88,83.9
1995,R. Borré,22,Colombia,75,82,9500000,21000,Right,B,A,RS,2021,5.9,157,15200000,1.75,71.2
1996,E. Zukanović,31,Bosnia Herzegovina,75,75,4500000,15000,Left,B,C,CB,2021,6.3,187,7600000,1.91,84.8
1997,A. Elis,22,Honduras,75,82,9500000,8000,Right,A,A,RM,2021,5.11,170,16200000,1.8,77.1
1998,M. Fernández,32,Chile,75,75,5000000,14000,Right,A,S,LDM,2023,5.10,159,8500000,1.78,72.1
1999,D. Rodríguez,28,Uruguay,75,75,5500000,20000,Right,B,C,RCM,2023,5.7,143,9400000,1.7,64.9
2000,T. Klose,30,Switzerland,75,75,4900000,25000,Right,B,C,CB,2019,6.4,192,9400000,1.93,87.1
2002,Kwon Chang Hoon,24,Korea Republic,75,79,8500000,13000,Left,B,A,RM,2021,5.9,154,17600000,1.75,69.9
2003,C. Larin,23,Canada,75,82,9500000,39000,Right,A,B,ST,2022,6.2,198,20000000,1.88,89.8
2004,Tchê Tchê,25,Brazil,75,78,8000000,1000,Right,A,B,CM,2023,5.9,146,17400000,1.75,66.2
2005,M. Leckie,27,Australia,75,75,7000000,25000,Right,A,B,RM,2021,5.11,181,11900000,1.8,82.1
2007,Fontàs,28,Spain,75,76,6000000,8000,Left,B,C,CB,2022,6.1,190,9500000,1.85,86.2
2008,K. Vermeer,32,Netherlands,75,75,3800000,10000,Right,A,D,GK,2020,6.0,176,5400000,1.83,79.8
2009,A. Surman,31,England,75,75,5500000,53000,Left,A,B,LCM,2019,5.10,161,10500000,1.78,73.0
2010,M. Höger,28,Germany,75,75,6500000,21000,Right,A,C,CM,2021,6.0,183,9800000,1.83,83.0
2011,S. Dann,31,England,75,75,4500000,42000,Right,B,C,CB,2020,6.2,172,8500000,1.88,78.0
2012,Jovane Cabral,20,Cape Verde,75,87,12000000,9000,Right,A,A,LM,2023,5.9,150,26400000,1.75,68.0
2013,C. Cathcart,29,Northern Ireland,75,75,5000000,44000,Right,B,C,RCB,2021,6.3,183,9500000,1.91,83.0
2014,Zaldúa,26,Spain,75,78,7000000,23000,Right,B,C,RB,2020,5.9,154,15200000,1.75,69.9
2015,Pelé,26,Guinea Bissau,75,77,6500000,48000,Right,B,B,CDM,2023,6.0,170,12800000,1.83,77.1
2016,M. Kelly,28,England,75,76,6000000,44000,Right,B,C,CB,2019,6.3,170,11900000,1.91,77.1
2018,L. Zelarayán,26,Argentina,75,77,8000000,46000,Right,B,B,CAM,2023,5.8,161,13400000,1.73,73.0
2019,Gelson Fernandes,31,Switzerland,75,75,4500000,28000,Right,B,C,LCM,2019,5.10,154,7600000,1.78,69.9
2020,D. Glushakov,31,Russia,75,75,4500000,1000,Right,B,B,LCM,2020,5.11,176,9400000,1.8,79.8
2021,Lee Jae Sung,25,Korea Republic,75,78,8500000,13000,Left,A,B,CAM,2021,5.11,154,13800000,1.8,69.9
2022,Baiano,31,Brazil,75,75,4400000,13000,Right,C,B,RB,2020,5.10,152,8700000,1.78,68.9
2023,A. Hurtado,31,Colombia,75,75,6000000,44000,Right,A,B,ST,2019,5.7,143,10200000,1.7,64.9
2024,A. Mierzejewski,31,Poland,75,75,6000000,12000,Left,A,A,RM,2019,5.9,161,12900000,1.75,73.0
2025,V. Janssen,24,Netherlands,75,78,8500000,64000,Left,A,B,ST,2020,6.0,194,16400000,1.83,88.0
2026,E. Paredes,37,Chile,75,75,2400000,7000,Left,B,B,RS,2019,5.10,181,3300000,1.78,82.1
2027,B. Alemán,28,Uruguay,75,75,6500000,29000,Left,B,B,CAM,2021,5.9,174,10700000,1.75,78.9
2028,P. Retsos,19,Greece,75,85,9000000,19000,Right,B,C,CB,2022,6.1,179,17100000,1.85,81.2
2031,Rubén Pardo,25,Spain,75,78,8000000,24000,Right,A,B,CM,2020,5.11,152,17400000,1.8,68.9
2032,P. Goltz,33,Argentina,75,75,2700000,20000,Right,B,C,LCB,2020,6.0,181,3800000,1.83,82.1
2033,D. Türüç,25,Turkey,75,79,8500000,14000,Left,A,A,RM,2020,5.10,159,17600000,1.78,72.1
2034,B. Mechele,25,Belgium,75,79,7000000,19000,Right,A,C,CB,2022,6.3,176,11000000,1.91,79.8
2035,Kaimo Lima,34,Brazil,75,75,2000000,24000,Left,B,C,RCB,2021,6.2,170,3800000,1.88,77.1
2036,R. Rodelin,28,France,75,75,7000000,25000,Right,B,B,CAM,2021,6.4,181,14000000,1.93,82.1
2037,Bobô,33,Brazil,75,75,4200000,16000,Right,B,B,ST,2020,6.1,187,8400000,1.85,84.8
2038,L. Ciman,32,Belgium,75,75,3800000,13000,Right,A,C,RCB,2020,6.0,154,7600000,1.83,69.9
2039,D. Ba,33,Senegal,75,75,4200000,17000,Right,B,B,ST,2021,6.2,181,9000000,1.88,82.1
2040,H. Medunjanin,33,Bosnia Herzegovina,75,75,3900000,9000,Left,A,A,LDM,2019,6.2,168,5900000,1.88,76.2
2041,José Cañas,31,Spain,75,75,4500000,1000,Right,B,C,RDM,2019,5.10,152,9400000,1.78,68.9
2043,Titi,30,Brazil,75,75,4900000,22000,Left,B,C,LCB,2020,6.2,183,9900000,1.88,83.0
2044,Carles Gil,25,Spain,75,76,8000000,10000,Left,A,A,CAM,2020,5.7,143,13400000,1.7,64.9
2045,P. Lasne,29,France,75,75,6500000,25000,Left,B,B,CM,2021,6.1,170,13000000,1.85,77.1
2046,Lekue,25,Spain,75,78,7000000,19000,Right,B,B,RB,2023,5.11,159,15200000,1.8,72.1
2047,A. Silva,28,Uruguay,75,75,6500000,10000,Right,A,A,RW,2020,5.10,150,9800000,1.78,68.0
2048,A. Danjuma Groeneveld,21,Netherlands,75,84,10500000,16000,Right,A,A,LM,2022,5.10,172,17900000,1.78,78.0
2049,C. Luyindama,24,DR Congo,75,80,7500000,13000,Right,C,C,RCB,2021,6.3,201,11800000,1.91,91.2
2050,L. González Pirez,26,Argentina,75,78,7000000,8000,Right,B,C,LCB,2019,6.1,176,11000000,1.85,79.8
2051,Sergio Álvarez,26,Spain,75,78,7000000,20000,Right,B,B,CDM,2022,6.0,163,15200000,1.83,73.9
2052,M. Cornet,21,Ivory Coast,75,80,9000000,41000,Left,S,B,RW,2021,5.10,152,17800000,1.78,68.9
2053,M. Schnatterer,32,Germany,75,75,5000000,14000,Right,A,B,LM,2020,5.11,165,7800000,1.8,74.8
2054,O. Kharbin,24,Syria,75,80,9000000,33000,Right,B,B,ST,2021,6.1,183,16000000,1.85,83.0
2056,T. Souček,23,Czech Republic,75,83,8500000,1000,Right,B,C,RDM,2020,6.4,190,20400000,1.93,86.2
2057,Y. Ravet,28,France,75,75,6500000,24000,Right,B,B,RM,2020,5.10,172,11700000,1.78,78.0
2058,T. Serero,28,South Africa,75,75,6500000,15000,Right,A,B,RCM,2020,5.8,128,9800000,1.73,58.1
2059,B. Douglas,28,Scotland,75,75,5500000,38000,Left,B,B,LB,2021,5.10,154,10500000,1.78,69.9
2060,S. Johnstone,25,England,75,80,6500000,23000,Right,B,D,GK,2022,6.4,187,12800000,1.93,84.8
2062,J. Corona,37,Mexico,75,75,450000,12000,Right,B,D,GK,2020,6.0,185,765000,1.83,83.9
2063,I. Fetfatzidis,27,Greece,75,75,7000000,1000,Left,C,A,RM,2021,5.5,146,15400000,1.65,66.2
2064,S. Romero,29,Argentina,75,75,6500000,22000,Right,B,B,RM,2023,5.10,168,9100000,1.78,76.2
2066,S. Sinclair,29,England,75,75,6500000,48000,Right,A,A,LM,2020,5.10,154,11700000,1.78,69.9
2067,L. Krejčí,25,Czech Republic,75,75,7000000,30000,Left,C,A,LW,2020,5.11,150,11900000,1.8,68.0
2068,L. Orbán,29,Argentina,74,74,4400000,18000,Left,B,C,CB,2019,5.10,174,6600000,1.78,78.9
2069,A. Hamdallah,27,Morocco,74,74,6000000,35000,Right,B,B,ST,2021,5.10,179,10200000,1.78,81.2
2070,R. Tapia,22,Peru,74,79,6500000,10000,Right,A,B,RDM,2020,6.0,172,9600000,1.83,78.0
2071,O. Watkins,22,England,74,81,8000000,35000,Right,B,B,RW,2021,5.11,154,16800000,1.8,69.9
2072,Duirval Diniz,34,Brazil,74,74,1700000,13000,Right,B,C,RCB,2021,6.2,181,3200000,1.88,82.1
2073,Arribas,29,Spain,74,74,4400000,18000,Right,B,C,RCB,2022,6.0,168,7400000,1.83,76.2
2074,B. Dabo,26,Burkina Faso,74,77,7000000,43000,Right,B,A,CM,2021,6.1,179,12400000,1.85,81.2
2075,G. Lezcano,31,Argentina,74,74,4900000,12000,Right,A,B,RW,2020,5.6,143,8400000,1.68,64.9
2076,Bebeto,28,Brazil,74,74,4400000,10000,Right,C,B,RB,2020,5.9,154,9300000,1.75,69.9
2077,L. Sobiech,27,Germany,74,74,4700000,17000,Right,B,C,CB,2022,6.5,194,7100000,1.96,88.0
2078,Guerrero,27,Spain,74,74,6000000,1000,Right,B,B,ST,2021,5.11,168,13200000,1.8,76.2
2079,K. Boutaïb,31,Morocco,74,74,5000000,15000,Right,B,B,ST,2019,6.2,181,10000000,1.88,82.1
2081,M. Krohn-Dehli,35,Denmark,74,74,2400000,7000,Right,A,B,CM,2019,5.7,150,3800000,1.7,68.0
2082,Lucas Torró,23,Spain,74,81,7000000,22000,Right,B,C,CDM,2023,6.3,183,13300000,1.91,83.0
2083,J. Vossen,29,Belgium,74,74,5500000,22000,Right,A,B,ST,2020,6.0,174,8300000,1.83,78.9
2085,M. Pasqual,36,Italy,74,74,650000,9000,Left,C,B,LB,2022,5.10,157,1200000,1.78,71.2
2086,Zubeldia,21,Spain,74,81,8000000,17000,Right,B,B,CM,2024,5.11,174,18400000,1.8,78.9
2087,Da Costa,34,Brazil,74,74,2300000,20000,Right,C,D,GK,2021,6.1,179,3900000,1.85,81.2
2088,D. Kolář,32,Czech Republic,74,74,4400000,1000,Right,A,B,CAM,2019,5.11,176,9600000,1.8,79.8
2089,M. Zaldivia,27,Argentina,74,76,5500000,8000,Right,A,C,RCB,2021,5.11,174,8100000,1.8,78.9
2090,S. Ghoddos,24,Iran,74,79,7500000,16000,Right,B,B,LM,2023,5.10,174,15600000,1.78,78.9
2091,A. Bălută,24,Romania,74,77,7000000,1000,Right,A,A,RM,2022,5.5,148,15900000,1.65,67.1
2092,T. Melia,32,United States,74,74,3200000,6000,Right,C,D,GK,2020,6.1,190,4800000,1.85,86.2
2093,A. Di Gaudio,28,Italy,74,74,5500000,39000,Right,A,A,LW,2020,5.7,139,9900000,1.7,63.0
2094,N. Milenković,20,Serbia,74,83,7500000,28000,Right,B,C,RB,2022,6.5,198,14300000,1.96,89.8
2095,V. Demirel,36,Turkey,74,74,750000,23000,Right,C,D,GK,2019,6.3,198,1400000,1.91,89.8
2096,L. Cooper,26,Scotland,74,75,5500000,34000,Left,B,C,LCB,2021,6.2,161,10900000,1.88,73.0
2097,Edercinho Sepa,30,Brazil,74,74,4200000,22000,Right,B,C,RCM,2021,5.10,168,7500000,1.78,76.2
2098,A. Morelos,22,Colombia,74,84,9000000,41000,Right,A,B,ST,2022,5.10,174,18000000,1.78,78.9
2099,J. Chester,29,Wales,74,74,4400000,18000,Right,B,C,CB,2020,5.11,174,8300000,1.8,78.9
2101,E. Velázquez,24,Uruguay,74,80,6500000,14000,Right,B,C,CB,2021,6.1,174,15600000,1.85,78.9
2103,T. Matavž,29,Slovenia,74,74,5500000,15000,Right,A,B,ST,2020,6.2,179,8300000,1.88,81.2
2104,Y. Khacheridi,30,Ukraine,74,74,4200000,1000,Right,B,C,CB,2021,6.6,181,8800000,1.98,82.1
2105,Y. Gerhardt,24,Germany,74,80,6500000,28000,Left,B,B,RCM,2021,6.0,179,12400000,1.83,81.2
2106,K. Laifis,25,Cyprus,74,78,6000000,13000,Left,B,C,LCB,2021,6.1,170,9500000,1.85,77.1
2107,J. Hoilett,28,Canada,74,74,5500000,44000,Right,B,B,LM,2021,5.8,154,11000000,1.73,69.9
2108,Pascoal Muscato,26,Brazil,74,74,4900000,15000,Right,A,C,RDM,2021,5.10,185,9300000,1.78,83.9
2109,J. Furch,28,Argentina,74,74,6000000,22000,Right,B,B,RS,2020,6.2,194,10200000,1.88,88.0
2110,Fransérgio,27,Brazil,74,74,6000000,13000,Right,B,B,LCM,2022,6.2,181,12000000,1.88,82.1
2111,S. Gümüş,24,Germany,74,78,7500000,38000,Left,B,B,RM,2019,5.10,157,14800000,1.78,71.2
2112,Anselmo,29,Brazil,74,74,4400000,21000,Right,C,B,RDM,2022,6.1,181,7400000,1.85,82.1
2114,Manquillo,24,Spain,74,78,6000000,30000,Right,B,B,LB,2020,5.10,168,11900000,1.78,76.2
2115,Daniel Candeias,30,Portugal,74,74,5500000,46000,Right,A,A,RW,2020,5.10,172,9900000,1.78,78.0
2116,R. Rey,27,Argentina,74,77,4700000,1000,Right,B,D,GK,2020,6.3,168,10300000,1.91,76.2
2117,U. Račić,20,Serbia,74,83,7500000,18000,Right,A,B,CDM,2022,6.4,179,17300000,1.93,81.2
2119,G. Ortíz,25,Argentina,74,79,6500000,11000,Right,B,C,LCB,2020,6.0,176,10200000,1.83,79.8
2120,A. Ademi,27,FYR Macedonia,74,76,5500000,1000,Right,B,B,RDM,2023,6.1,174,12500000,1.85,78.9
2122,Daniel Ayala,27,Spain,74,76,5500000,41000,Right,B,C,RCB,2020,6.3,185,10900000,1.91,83.9
2123,M. Kempf,23,Germany,74,80,6500000,22000,Left,B,C,LCB,2022,6.1,192,12400000,1.85,87.1
2124,R. Khedira,24,Germany,74,77,6000000,17000,Right,B,C,CB,2021,6.2,185,10700000,1.88,83.9
2125,M. Casco,30,Argentina,74,74,4100000,18000,Right,A,B,LB,2020,5.7,152,5700000,1.7,68.9
2126,Caio Milaçar,34,Brazil,74,74,2800000,19000,Right,A,A,CAM,2021,5.7,148,5300000,1.7,67.1
2128,C. Träsch,30,Germany,74,74,4200000,21000,Right,A,B,CDM,2021,5.11,165,6700000,1.8,74.8
2129,C. Atsu,26,Ghana,74,75,6500000,39000,Left,B,B,LM,2021,5.5,143,12800000,1.65,64.9
2130,A. Touré,22,Mali,74,79,6500000,38000,Right,B,B,RB,2019,6.0,159,12800000,1.83,72.1
2132,M. Andújar,34,Argentina,74,74,2300000,11000,Right,B,D,GK,2019,6.4,194,3400000,1.93,88.0
2133,K. Olsson,23,Sweden,74,79,7500000,8000,Right,B,A,LCM,2020,5.11,152,10300000,1.8,68.9
2135,R. Jack,26,Scotland,74,78,6000000,39000,Right,B,B,CDM,2020,6.0,159,11300000,1.83,72.1
2136,M. Luongo,25,Australia,74,77,6000000,9000,Right,B,B,RDM,2020,5.9,168,11900000,1.75,76.2
2137,L. Jara,27,Argentina,74,75,5000000,18000,Right,B,B,RB,2020,6.1,181,7400000,1.85,82.1
2138,M. Andreolli,32,Italy,74,74,3200000,25000,Right,B,C,CB,2019,6.2,176,5500000,1.88,79.8
2139,A. Chahechouhe,31,Morocco,74,74,4900000,49000,Right,A,A,LM,2019,5.9,150,9400000,1.75,68.0
2140,I. Kutepov,24,Russia,74,80,6500000,1000,Right,S,C,RCB,2021,6.4,185,15000000,1.93,83.9
2141,J. Pivarić,29,Croatia,74,74,4300000,1000,Left,B,B,LB,2020,5.9,152,8900000,1.75,68.9
2143,Elias Fontoira,34,Brazil,74,74,1700000,21000,Right,B,B,LDM,2021,6.1,163,3200000,1.85,73.9
2144,E. Saric,27,Bosnia Herzegovina,74,74,6000000,9000,Left,B,B,CM,2021,5.11,157,7500000,1.8,71.2
2145,S. Al Faraj,28,Saudi Arabia,74,74,5500000,33000,Left,A,B,CM,2021,5.11,141,9400000,1.8,64.0
2147,A. Pritchard,25,England,74,78,7500000,37000,Right,A,B,LS,2021,5.7,137,14800000,1.7,62.1
2148,D. Calvert-Lewin,21,England,74,83,9000000,55000,Right,B,B,ST,2023,6.2,157,18900000,1.88,71.2
2149,T. Koopmeiners,20,Netherlands,74,83,8500000,10000,Left,B,B,LCB,2022,6.0,170,14500000,1.83,77.1
2150,Joselu,28,Spain,74,74,6000000,44000,Right,B,B,ST,2020,6.4,176,11400000,1.93,79.8
2151,G. Svensson,31,Sweden,74,74,3800000,7000,Right,C,B,CDM,2019,6.0,170,5700000,1.83,77.1
2152,Enaldo Praz,30,Brazil,74,74,4100000,22000,Left,B,C,LB,2021,5.10,161,7300000,1.78,73.0
2153,L. Griffiths,27,Scotland,74,74,6000000,46000,Left,B,B,ST,2022,5.9,170,10800000,1.75,77.1
2154,W. Katsande,32,Zimbabwe,74,74,3200000,1000,Right,B,B,RCM,2020,5.10,172,7100000,1.78,78.0
2155,S. Kırıntılı,33,Turkey,74,74,2800000,12000,Right,C,D,GK,2020,6.1,172,5700000,1.85,78.0
2156,E. Crivelli,23,France,74,80,8000000,20000,Right,B,C,ST,2021,6.0,174,17600000,1.83,78.9
2157,Jairo,24,Spain,74,77,7000000,12000,Right,A,B,LM,2019,5.8,152,11700000,1.73,68.9
2159,G. Cunningham,27,Republic of Ireland,74,75,5000000,35000,Left,B,B,LB,2021,6.0,154,10400000,1.83,69.9
2160,C. Berra,33,Scotland,74,74,2300000,8000,Left,C,C,CB,2020,6.3,203,4000000,1.91,92.1
2161,A. Beck,31,Germany,74,74,3700000,26000,Right,B,B,RWB,2019,5.11,174,6300000,1.8,78.9
2162,K. Roofe,25,England,74,76,7000000,38000,Right,A,B,ST,2020,5.10,143,13800000,1.78,64.9
2164,D. Royer,28,Austria,74,74,5500000,8000,Right,B,A,LM,2020,5.10,161,8300000,1.78,73.0
2165,C. Njie,24,Cameroon,74,77,7500000,34000,Right,C,B,ST,2020,5.9,150,14800000,1.75,68.0
2166,K. Lawrence,25,Jamaica,74,77,6000000,7000,Left,B,B,LB,2021,5.10,161,9500000,1.78,73.0
2167,N. Sánchez,32,Argentina,74,74,3200000,34000,Right,B,C,CB,2019,6.2,181,5500000,1.88,82.1
2168,N. Benezet,27,France,74,74,6000000,20000,Right,A,B,LM,2020,5.7,143,12000000,1.7,64.9
2169,O. Şahan,31,Turkey,74,74,4900000,26000,Right,A,A,LM,2020,5.10,157,9900000,1.78,71.2
2170,M. Besler,31,United States,74,74,3800000,7000,Left,B,C,LCB,2020,6.0,170,5700000,1.83,77.1
2171,D. Falcinelli,27,Italy,74,75,6500000,29000,Left,C,B,LS,2022,6.1,165,11500000,1.85,74.8
2172,L. Moore,25,England,74,78,6000000,26000,Right,B,C,LCB,2023,6.1,190,11900000,1.85,86.2
2173,A. Aguilar,33,Colombia,74,74,2300000,7000,Right,B,B,CDM,2021,6.1,181,3400000,1.85,82.1
2174,Dani Raba,22,Spain,74,81,8000000,22000,Left,B,B,RM,2022,6.0,168,18400000,1.83,76.2
2175,B. Poulain,30,France,74,74,4200000,18000,Right,C,C,RCB,2019,6.2,183,6300000,1.88,83.0
2176,Y. Nagatomo,31,Japan,74,74,3700000,40000,Right,S,B,LB,2020,5.7,150,7000000,1.7,68.0
2177,Raúl Fernández,30,Spain,74,74,3600000,8000,Right,C,D,GK,2021,6.5,203,5800000,1.96,92.1
2178,Alberto,33,Spain,74,74,2800000,13000,Right,B,D,GK,2021,6.0,170,6300000,1.83,77.1
2179,J. Obi,27,Nigeria,74,75,6500000,15000,Left,B,B,LCM,2021,5.9,157,11500000,1.75,71.2
2180,C. Hourihane,27,Republic of Ireland,74,74,6000000,18000,Left,A,B,LCM,2020,5.11,137,11400000,1.8,62.1
2181,B. Kuwas,25,Curacao,74,75,6500000,9000,Left,B,A,CF,2019,5.11,170,9900000,1.8,77.1
2182,Jailson Caeiro,26,Brazil,74,74,4800000,18000,Right,A,B,RB,2018,5.10,165,9100000,1.78,74.8
2183,D. Chará,32,Colombia,74,74,3200000,7000,Right,A,B,LCM,2018,5.8,150,4800000,1.73,68.0
2184,T. Mykhalyk,34,Ukraine,74,74,1700000,1000,Right,B,C,CB,2019,6.0,183,3600000,1.83,83.0
2186,Alexis,32,Spain,74,74,3200000,29000,Right,B,C,CB,2020,6.0,165,5500000,1.83,74.8
2188,Kel Perinho,34,Brazil,74,74,1700000,14000,Right,B,C,RCB,2021,6.4,174,3200000,1.93,78.9
2189,C. Coady,25,England,74,77,6000000,46000,Right,B,C,CB,2021,6.1,176,11900000,1.85,79.8
2190,M. Estigarribia,30,Paraguay,74,74,5500000,13000,Left,A,B,LCM,2021,5.11,163,8300000,1.8,73.9
2191,E. Sviatchenko,26,Denmark,74,77,6000000,19000,Right,A,C,LCB,2022,6.0,181,8300000,1.83,82.1
2193,Hugo Goiteira,26,Brazil,74,74,4900000,18000,Right,C,C,RCB,2021,6.3,194,9100000,1.91,88.0
2195,André Horta,21,Portugal,74,82,8000000,6000,Right,B,B,CM,2023,5.9,141,13600000,1.75,64.0
2196,Fábio Melitinho,34,Brazil,74,74,2800000,25000,Right,S,B,CAM,2021,5.7,148,5400000,1.7,67.1
2197,R. Quaison,24,Sweden,74,78,7500000,22000,Right,B,B,CF,2021,6.0,170,14100000,1.83,77.1
