,Name,Age,Nationality,Overall,Potential,Value,Wage,Preferred.Foot,Weak.Foot,Skill.Moves,Position,Contract.Valid.Until,Height,Weight,Release.Clause,pac,shot,pas,dri,deff,phy,Meter,Kilo
3418,M. Kean,18,Italy,72,87,6500000,32000,Right,B,B,ST,2020,6.0,174,14800000,77,67,49,71,31,63,1.83,78.9
3419,S. Dioudis,25,Greece,72,75,2800000,1000,Right,C,D,GK,2020,6.2,176,6300000,42,18,22,45,16,41,1.88,79.8
3420,S. Pellissier,39,Italy,72,72,900000,10000,Right,A,B,ST,2019,5.9,168,1500000,39,78,63,72,33,51,1.75,76.2
3421,B. Afobe,25,DR Congo,72,76,4100000,31000,Right,B,B,ST,2022,6.0,172,8000000,79,70,58,67,32,69,1.83,78.0
3422,C. Gytkjær,28,Denmark,72,72,3200000,9000,Right,A,B,ST,2019,6.1,170,4300000,71,71,56,69,36,71,1.85,77.1
3423,Kim Jin Su,26,Korea Republic,72,73,3000000,8000,Left,B,B,LB,2020,5.10,148,4100000,78,44,65,70,68,66,1.78,67.1
3425,F. Hübner,27,Germany,72,74,3000000,20000,Right,B,C,LCB,2020,6.4,185,5100000,53,41,41,53,73,65,1.93,83.9
3426,R. Strebinger,25,Austria,72,76,2900000,10000,Right,C,D,GK,2022,6.4,198,4500000,32,16,17,33,14,47,1.93,89.8
3427,A. Çalık,24,Turkey,72,77,3500000,28000,Right,A,C,CB,2021,6.0,170,7000000,66,40,49,65,72,74,1.83,77.1
3428,J. Ledley,31,Wales,72,72,2100000,27000,Left,C,C,CDM,2019,6.0,161,4000000,56,64,65,68,70,78,1.83,73.0
3429,A. Mobara,24,South Africa,72,77,3500000,1000,Right,A,B,RB,2019,5.9,152,7700000,78,53,61,66,72,63,1.75,68.9
3430,V. Găman,29,Romania,72,72,2400000,22000,Right,B,C,RCB,2019,6.3,181,4000000,58,54,53,62,72,70,1.91,82.1
3431,Hao Junmin,31,China PR,72,72,2700000,14000,Right,A,B,LCM,2019,5.10,172,5700000,71,60,73,70,58,72,1.78,78.0
3432,L. Aued,31,Argentina,72,72,2700000,8000,Left,B,B,LCM,2019,6.0,179,3700000,54,62,69,65,61,68,1.83,81.2
3433,C. Molinaro,34,Italy,72,72,875000,11000,Left,C,B,LB,2019,6.0,181,1600000,67,56,61,68,71,72,1.83,82.1
3434,S. Medina,26,Colombia,72,74,3100000,28000,Right,B,B,RWB,2023,5.11,152,5400000,74,52,59,68,72,76,1.8,68.9
3435,K. Diks,21,Netherlands,72,79,3700000,23000,Right,B,B,RB,2021,6.1,154,7100000,75,45,49,67,70,73,1.85,69.9
3436,A. Büyük,30,Turkey,72,72,2900000,11000,Right,B,B,LM,2019,5.10,172,5900000,76,68,61,76,33,71,1.78,78.0
3437,Guitián,27,Spain,72,74,3000000,7000,Right,B,C,CB,2021,5.11,152,5100000,65,40,50,63,70,77,1.8,68.9
3438,C. Christie,25,Republic of Ireland,72,75,3200000,32000,Right,C,B,RCM,2021,6.2,172,6300000,81,52,58,67,67,73,1.88,78.0
3440,João Afonso,28,Portugal,72,72,2500000,8000,Right,B,C,CB,2019,6.2,185,5300000,47,32,40,54,71,76,1.88,83.9
3441,S. Decarli,26,Switzerland,72,75,3200000,15000,Right,C,C,CB,2020,6.2,181,5100000,66,34,47,59,73,69,1.88,82.1
3443,B. Trawally,23,Gambia,72,78,4300000,11000,Right,B,B,LS,2021,6.1,154,10200000,76,64,58,71,36,57,1.85,69.9
3444,R. Danzé,31,France,72,72,2000000,20000,Right,B,B,RB,2019,6.0,161,3900000,59,58,66,69,72,68,1.83,73.0
3446,S. Coopman,23,Belgium,72,77,4200000,10000,Right,B,B,CAM,2022,6.0,154,6500000,60,61,66,73,38,52,1.83,69.9
3448,A. Mena,30,Ecuador,72,72,2900000,20000,Left,A,B,RW,2018,5.6,148,5000000,82,69,67,76,46,47,1.68,67.1
3449,Rubén García,24,Spain,72,77,4200000,7000,Left,C,B,LM,2021,5.7,159,7000000,82,65,69,73,39,60,1.7,72.1
3450,Jairinhazo,30,Brazil,72,72,2900000,12000,Right,A,A,RAM,2021,5.7,137,5600000,76,56,72,76,40,50,1.7,62.1
3451,Diogo Dalot,19,Portugal,72,84,4700000,26000,Right,B,B,RB,2023,6.0,157,9600000,73,57,62,71,68,77,1.83,71.2
3452,Pedro Sánchez,31,Spain,72,72,2700000,8000,Right,B,B,RM,2020,5.9,163,4400000,80,68,69,72,33,66,1.75,73.9
3453,P. Arajuuri,30,Finland,72,72,2300000,18000,Right,C,C,RCB,2019,6.4,203,3000000,41,30,42,48,69,80,1.93,92.1
3454,Álex Fernández,25,Spain,72,77,3500000,7000,Right,B,B,CAM,2022,5.11,150,5800000,51,59,72,68,61,65,1.8,68.0
3455,Jessé Ledeiro,30,Brazil,72,72,2900000,20000,Right,B,B,CAM,2021,5.9,161,5600000,69,65,73,74,38,61,1.75,73.0
3457,J. Windass,24,England,72,78,4300000,32000,Right,B,B,CAM,2021,5.9,150,9000000,88,67,66,73,38,66,1.75,68.0
3458,T. Romanczuk,26,Poland,72,74,3100000,7000,Left,B,C,LDM,2020,6.1,161,4500000,64,60,63,64,68,73,1.85,73.0
3459,K. Pedersen,23,Denmark,72,77,3500000,16000,Left,C,C,LB,2022,6.3,183,6800000,66,37,48,61,72,75,1.91,83.0
3460,L. Carole,27,France,72,73,2900000,13000,Left,C,B,LWB,2021,6.0,172,6000000,77,46,58,68,71,71,1.83,78.0
3461,F. Al Muwallad,23,Saudi Arabia,72,77,4200000,23000,Right,B,B,LM,2022,5.7,150,7400000,93,68,59,70,44,74,1.7,68.0
3462,S. van de Streek,25,Netherlands,72,74,3800000,13000,Right,A,B,CAM,2021,6.0,163,6000000,69,73,65,71,57,69,1.83,73.9
3463,Renato Santos,26,Portugal,72,72,3300000,8000,Right,B,A,RM,2021,5.9,154,5300000,76,66,68,72,48,51,1.75,69.9
3464,Àngel Rangel,35,Spain,72,72,675000,5000,Right,B,B,RB,2019,5.10,181,1300000,50,58,68,69,74,70,1.78,82.1
3465,L. Reyes,27,Mexico,72,73,2900000,35000,Left,B,B,LB,2019,5.11,146,5100000,77,51,61,69,68,63,1.8,66.2
3466,K. Letica,21,Croatia,72,80,3500000,8000,Right,B,D,GK,2022,6.7,212,5900000,32,11,21,29,11,40,2.01,96.2
3467,C. Brunt,33,Northern Ireland,72,72,1800000,24000,Left,C,B,CM,2019,6.1,185,3500000,53,71,78,67,65,66,1.85,83.9
3469,A. Castro,23,Argentina,72,78,4300000,13000,Left,C,B,LM,2021,6.0,157,7200000,74,64,67,70,62,63,1.83,71.2
3470,O. Nyland,27,Norway,72,74,2500000,11000,Right,A,D,GK,2021,6.4,198,5000000,47,16,24,41,14,50,1.93,89.8
3471,M. Iori,36,Italy,72,72,975000,2000,Right,B,C,CM,2021,6.0,159,1500000,63,65,70,69,64,71,1.83,72.1
3472,D. Pavelka,27,Czech Republic,72,75,3100000,10000,Right,A,B,LCM,2021,6.1,163,6500000,62,62,65,68,66,73,1.85,73.9
3473,R. Keogh,31,Republic of Ireland,72,72,2100000,27000,Right,B,C,RCB,2021,6.2,192,4000000,60,32,48,60,71,73,1.88,87.1
3474,Adrián Burnabão,34,Brazil,72,72,1600000,16000,Right,A,A,LAM,2021,5.9,161,3000000,62,67,73,73,26,59,1.75,73.0
3475,F. Sammaritano,32,France,72,72,2400000,11000,Right,A,B,LM,2020,5.4,141,4800000,69,65,73,74,26,51,1.63,64.0
3476,J. Fernández,30,Argentina,72,72,2900000,12000,Left,B,B,LM,2018,5.7,148,4400000,85,63,67,74,66,72,1.7,67.1
3477,Munir,29,Morocco,72,73,2400000,6000,Right,B,D,GK,2019,6.3,196,4000000,43,21,27,41,19,54,1.91,88.9
3480,S. Mosquera,23,Colombia,72,80,4600000,6000,Right,B,B,LM,2019,5.6,185,7800000,82,63,61,69,28,65,1.68,83.9
3481,J. Pereira,31,Mexico,72,72,2100000,24000,Right,B,C,RCB,2020,6.0,179,3600000,46,38,46,54,73,73,1.83,81.2
3482,Jorge Carvallinho,34,Brazil,72,72,950000,15000,Left,B,C,RCB,2021,6.2,176,1800000,60,52,55,56,70,72,1.88,79.8
3483,R. Řezník,29,Czech Republic,72,72,2400000,1000,Right,B,B,RCB,2022,6.0,176,5200000,71,56,54,71,69,69,1.83,79.8
3484,Y. Mulumbu,31,DR Congo,72,72,2100000,32000,Right,A,B,CDM,2020,5.9,168,3800000,58,58,62,70,67,72,1.75,76.2
3485,A. Esswein,28,Germany,72,72,3100000,20000,Right,B,B,RM,2020,6.0,187,5400000,83,69,63,69,62,74,1.83,84.8
3486,L. Boyé,22,Argentina,72,81,4900000,1000,Right,C,B,LM,2020,5.11,176,11600000,72,66,59,72,43,71,1.8,79.8
3487,J. van Overeem,24,Netherlands,72,75,3900000,12000,Right,B,B,CDM,2022,5.11,157,6100000,71,61,69,74,52,52,1.8,71.2
3488,M. Mahi,24,Morocco,72,76,4100000,7000,Right,A,A,ST,2019,5.11,152,6300000,78,72,66,74,37,64,1.8,68.9
3490,I. Lewczuk,33,Poland,72,72,1300000,25000,Right,B,C,CB,2019,6.2,187,2400000,50,48,56,63,69,73,1.88,84.8
3491,F. Kroos,27,Germany,72,75,3100000,20000,Right,B,B,LCM,2019,6.0,172,5300000,65,63,67,69,66,73,1.83,78.0
3492,F. Quignon,25,Argentina,72,77,4100000,13000,Left,B,B,LCM,2021,5.10,165,6400000,71,56,65,65,68,68,1.78,74.8
3493,D. N'Dinga,30,Congo,72,72,2300000,10000,Right,B,C,CDM,2019,5.11,154,4600000,67,51,58,65,69,80,1.8,69.9
3494,Welinton,29,Brazil,72,72,2400000,11000,Right,C,C,CB,2020,5.11,179,4800000,60,50,54,54,71,78,1.8,81.2
3495,L. Jiménez,29,Colombia,72,72,2400000,15000,Right,B,C,LCB,2022,6.1,170,4100000,69,50,46,59,70,75,1.85,77.1
3496,N. Mushekwi,30,Zimbabwe,72,72,3000000,11000,Left,B,C,ST,2020,6.2,179,6500000,73,67,48,62,37,77,1.88,81.2
3497,J. Jugas,26,Czech Republic,72,76,3300000,1000,Right,C,C,CB,2020,6.2,194,7600000,63,43,43,53,71,73,1.88,88.0
3498,Claiton,33,Brazil,72,72,1300000,3000,Right,B,C,LCB,2020,6.2,174,2000000,52,24,30,59,70,73,1.88,78.9
3499,G. Zusi,31,United States,72,72,2000000,6000,Right,A,B,RB,2021,5.10,159,3100000,68,73,76,71,65,72,1.78,72.1
3500,J. Mauri,22,Italy,72,79,4300000,43000,Right,A,B,CM,2019,5.7,143,8200000,71,58,69,78,61,62,1.7,64.9
3501,L. Sigali,31,Argentina,72,72,2100000,14000,Right,B,C,RCB,2023,5.11,159,3100000,65,34,33,55,74,70,1.8,72.1
3502,I. Seck,28,Senegal,72,72,2500000,11000,Left,B,C,CDM,2021,6.4,194,3800000,42,45,50,57,72,73,1.93,88.0
3504,Su Boyang,29,China PR,72,73,2400000,9000,Right,D,D,GK,2019,6.1,163,5400000,32,10,20,40,11,40,1.85,73.9
3505,L. Caldirola,27,Italy,72,72,2600000,17000,Left,B,C,CB,2019,6.2,174,4500000,51,43,59,61,71,68,1.88,78.9
3506,G. Hauche,31,Argentina,72,72,2800000,4000,Right,B,A,LM,2019,5.6,161,3900000,89,69,68,76,42,72,1.68,73.0
3507,B. Hrgota,25,Sweden,72,75,4000000,24000,Left,A,B,ST,2019,6.1,165,7000000,71,72,60,68,28,60,1.85,74.8
3508,D. Morales,31,Argentina,72,72,2700000,11000,Right,B,A,CAM,2019,5.8,152,4100000,70,65,71,74,30,65,1.73,68.9
3509,M. Milligan,32,Australia,72,72,1800000,6000,Right,B,C,LCB,2020,5.10,172,3100000,66,63,66,68,68,79,1.78,78.0
3513,A. Ömür,19,Turkey,72,79,4200000,10000,Left,A,B,RM,2022,5.6,148,9300000,77,62,69,75,39,51,1.68,67.1
3515,D. Zabala,26,Uruguay,72,72,3300000,11000,Right,B,B,RM,2020,5.8,141,5000000,72,69,68,69,42,60,1.73,64.0
3516,R. Canouse,23,United States,72,80,3900000,5000,Right,B,C,RDM,2019,5.10,168,6700000,69,52,55,68,68,74,1.78,76.2
3517,A. Hoffmann,25,Germany,72,76,3400000,18000,Right,C,C,CB,2020,6.3,185,6300000,46,40,48,58,71,65,1.91,83.9
3518,J. Mattheij,25,Netherlands,72,75,3300000,5000,Right,B,C,RCB,2019,6.3,185,5000000,35,38,44,57,72,77,1.91,83.9
3520,J. Torres Nilo,30,Mexico,72,72,2200000,32000,Left,C,B,LCB,2023,5.11,172,3600000,74,53,60,66,70,81,1.8,78.0
3521,D. Kombarov,31,Russia,72,72,2000000,1000,Left,C,A,LB,2020,6.0,159,4300000,77,70,73,74,66,73,1.83,72.1
3522,R. Métanire,28,Madagascar,72,72,2500000,13000,Right,C,B,RB,2019,5.10,163,4900000,78,39,52,69,67,78,1.78,73.9
3524,H. Palacios,25,Colombia,72,77,3400000,4000,Right,C,C,RB,2023,5.9,165,5000000,89,45,56,64,66,75,1.75,74.8
3525,Gao Lin,32,China PR,72,72,2500000,14000,Right,A,B,ST,2018,6.1,165,5400000,73,70,64,67,55,71,1.85,74.8
3526,A. Gerndt,31,Sweden,72,72,2800000,8000,Left,A,B,LS,2019,6.0,176,4000000,76,72,69,69,36,68,1.83,79.8
3527,H. Bandé,19,Burkina Faso,72,84,5500000,7000,Right,A,B,LW,2023,5.10,150,8800000,84,67,52,73,31,67,1.78,68.0
3528,E. Jakupović,33,Switzerland,72,72,1600000,30000,Right,C,D,GK,2020,6.3,187,3000000,44,16,26,39,14,51,1.91,84.8
3529,L. Ardente,36,Argentina,72,72,425000,5000,Right,C,D,GK,2021,6.2,179,616000,23,21,22,26,13,31,1.88,81.2
3530,S. Koç,29,Germany,72,72,3000000,12000,Right,B,B,RM,2020,5.10,176,6100000,84,56,63,73,28,65,1.78,79.8
3531,E. Andersen,25,Norway,72,73,3700000,4000,Right,C,B,LM,2019,5.11,161,4900000,80,62,72,69,43,63,1.8,73.0
3532,E. Insúa,27,Argentina,72,73,2900000,1000,Left,B,B,LB,2020,6.0,181,6500000,73,54,55,66,69,77,1.83,82.1
3533,Simy,26,Nigeria,72,75,3900000,4000,Right,B,C,ST,2019,6.6,185,6600000,58,72,40,60,34,65,1.98,83.9
3535,Felipe,27,Brazil,72,72,3200000,7000,Right,A,B,RCM,2022,5.7,150,4800000,67,67,71,70,59,70,1.7,68.0
3536,J. Correa,25,Argentina,72,75,4000000,11000,Right,A,B,ST,2021,6.2,187,6200000,68,65,42,64,33,74,1.88,84.8
3537,F. Coloccini,36,Argentina,72,72,425000,10000,Right,A,C,CB,2019,6.0,183,638000,48,55,57,62,71,71,1.83,83.0
3538,S. Frei,32,United States,72,72,1800000,5000,Right,C,D,GK,2019,6.3,194,2700000,44,16,25,45,14,55,1.91,88.0
3539,F. Ceravolo,31,Italy,72,72,2800000,30000,Right,B,B,ST,2020,5.11,161,5000000,76,69,60,72,34,70,1.8,73.0
3540,F. Eboa Eboa,21,Cameroon,72,79,3800000,11000,Right,B,C,CB,2023,6.1,176,8300000,67,43,48,62,72,68,1.85,79.8
3541,A. Abedzadeh,25,Iran,72,77,3000000,6000,Right,C,D,GK,2019,6.1,176,6400000,27,11,21,36,13,39,1.85,79.8
3542,S. Gustafson,23,Sweden,72,77,4200000,12000,Left,A,B,RCM,2022,6.1,172,6500000,66,71,70,69,43,63,1.85,78.0
3543,A. Tello,21,Colombia,72,82,5000000,3000,Right,B,B,RCM,2021,5.11,176,9000000,86,60,65,71,61,78,1.8,79.8
3544,O. Hurmacı,31,Turkey,72,72,2700000,11000,Right,A,B,LM,2020,5.9,154,5300000,70,68,72,73,39,72,1.75,69.9
3545,R. Gutiérrez,35,Chile,72,72,1400000,3000,Right,B,B,ST,2019,5.10,168,1900000,65,70,52,63,34,73,1.78,76.2
3546,N. Murru,23,Italy,72,77,3500000,18000,Left,B,B,LB,2022,5.11,141,6100000,76,43,54,69,68,72,1.8,64.0
3547,W. Zimmerman,25,United States,72,76,3400000,6000,Right,B,C,LCB,2020,6.3,196,5300000,56,50,46,53,69,79,1.91,88.9
3548,G. Lanaro,32,Argentina,72,72,1800000,8000,Right,C,C,RCB,2019,6.1,185,2500000,48,36,41,52,69,81,1.85,83.9
3549,I. Canuto,32,Argentina,72,72,1800000,10000,Right,B,C,RCB,2021,5.11,181,2700000,48,43,51,61,70,75,1.8,82.1
3551,Vasco Fernandes,31,Portugal,72,72,2100000,5000,Right,B,C,LCB,2020,6.0,168,4400000,65,44,54,66,71,80,1.83,76.2
3552,Luís Leal,31,São Tomé & Príncipe,72,72,2800000,15000,Right,B,B,ST,2022,5.9,154,4200000,74,71,63,69,37,69,1.75,69.9
3553,M. González,37,Argentina,72,72,1000000,8000,Right,A,A,LM,2018,5.9,176,1600000,60,70,72,72,55,68,1.75,79.8
3555,Clayton Fildeiras,34,Brazil,72,72,1600000,12000,Right,A,B,RAM,2021,5.8,152,3000000,71,67,68,73,49,74,1.73,68.9
3556,N. Mazraoui,20,Morocco,72,80,3900000,8000,Right,B,B,RB,2021,6.0,137,6300000,78,55,61,71,65,70,1.83,62.1
3557,Bruno Uvini,27,Brazil,72,73,2900000,24000,Left,C,C,RCB,2020,6.1,185,5200000,41,39,44,49,70,72,1.85,83.9
3558,R. Sigurjónsson,28,Iceland,72,72,3100000,12000,Right,A,B,CM,2019,5.10,183,4500000,68,71,71,69,53,84,1.78,83.0
3559,P. Arriola,23,United States,72,77,4200000,6000,Right,B,B,RM,2020,5.6,143,6500000,83,66,63,72,56,71,1.68,64.9
3560,E. Buendía,21,Argentina,72,79,4400000,15000,Right,B,B,RM,2022,5.7,143,9300000,71,62,69,73,59,54,1.7,64.9
3561,G. Gillet,34,Belgium,72,72,950000,8000,Right,B,B,CDM,2019,6.1,174,1700000,62,70,67,66,70,75,1.85,78.9
3563,A. Briseño,24,Mexico,72,77,3500000,7000,Right,C,C,RCB,2019,6.1,165,7700000,64,41,48,62,70,81,1.85,74.8
3564,S. Sáez,33,Argentina,72,72,2000000,9000,Right,B,B,ST,2019,5.9,187,2700000,71,69,47,68,29,68,1.75,84.8
3565,F. Zuqui,26,Argentina,72,73,3600000,12000,Right,B,B,RM,2021,5.7,143,5700000,66,59,66,73,62,68,1.7,64.9
3566,R. Lamah,30,Belgium,72,72,2900000,7000,Left,B,B,LM,2018,5.9,157,4400000,89,63,66,73,48,79,1.75,71.2
3567,Paulao Junqueiras,30,Brazil,72,72,3000000,22000,Right,A,B,ST,2021,6.4,212,5400000,37,75,49,56,32,58,1.93,96.2
3568,G. Escobar,21,Argentina,72,80,3900000,7000,Left,C,B,LB,2020,5.7,154,6700000,81,41,57,68,63,75,1.7,69.9
3569,S. Żurkowski,20,Poland,72,83,5500000,4000,Right,A,B,LCM,2020,6.1,170,8500000,81,60,61,72,66,79,1.85,77.1
3570,Diego Ângelo,32,Brazil,72,72,1800000,12000,Left,C,C,LCB,2019,6.4,185,3600000,36,58,66,50,73,66,1.93,83.9
3571,M. Johansson,26,Sweden,72,75,3200000,1000,Right,B,B,RB,2020,5.9,146,7200000,85,46,52,73,65,69,1.75,66.2
3572,O. John,26,Netherlands,72,72,3300000,8000,Right,A,A,LM,2021,5.10,159,7000000,77,63,70,71,28,54,1.78,72.1
3574,F. Lértora,27,Argentina,72,73,2900000,10000,Right,B,C,CDM,2021,5.9,161,4500000,63,53,62,63,75,75,1.75,73.0
3576,T. Savanier,26,France,72,75,3800000,14000,Right,B,B,LCM,2022,5.7,137,7900000,75,64,73,76,51,59,1.7,62.1
3577,Daniel Guimarães,31,Brazil,72,72,1900000,7000,Right,C,D,GK,2020,6.2,161,4000000,39,15,18,40,15,41,1.88,73.0
3579,E. Karaca,28,Turkey,72,72,3100000,12000,Right,A,B,RM,2019,5.5,123,6300000,83,61,61,78,42,45,1.65,55.8
3581,B. Ketkeophomphone,28,France,72,72,3200000,7000,Right,A,A,RM,2019,5.11,157,5800000,77,66,70,73,31,54,1.8,71.2
3582,A. Henríquez,24,Chile,72,75,4000000,9000,Right,A,B,ST,2022,5.9,161,5900000,74,72,57,69,32,58,1.75,73.0
3583,F. Angileri,24,Argentina,72,79,3700000,9000,Left,B,B,LB,2022,6.0,185,6100000,78,66,64,71,66,71,1.83,83.9
3584,A. Matri,33,Italy,72,72,2000000,35000,Right,B,B,ST,2019,6.0,176,3300000,66,70,55,69,39,67,1.83,79.8
3585,D. Banguero,28,Colombia,72,72,2500000,3000,Left,B,B,LB,2023,6.1,174,3400000,73,57,55,66,69,73,1.85,78.9
3586,Nilsito Vilela,30,Brazil,72,72,3000000,14000,Right,S,B,ST,2021,5.11,157,5700000,82,63,60,72,31,60,1.8,71.2
3587,Canella,30,Spain,72,72,2200000,7000,Left,B,C,LB,2019,5.10,161,3600000,71,51,65,68,67,74,1.78,73.0
3588,M. Pérez García,33,Argentina,72,72,1900000,11000,Left,B,A,LM,2020,5.5,150,2800000,78,62,76,77,42,58,1.65,68.0
3589,A. Khubulov,27,Russia,72,72,3300000,11000,Right,B,B,RM,2019,5.11,163,6300000,83,64,65,73,30,66,1.8,73.9
3590,A. Costa,32,Italy,72,72,1800000,4000,Left,B,C,RCB,2019,6.0,161,2900000,66,36,46,64,71,73,1.83,73.0
3591,A. Morales,28,United States,72,72,3100000,22000,Right,B,B,CM,2021,6.0,170,5600000,71,57,65,70,65,77,1.83,77.1
3593,L. Höler,23,Germany,72,75,4000000,17000,Right,B,B,ST,2022,6.0,176,7500000,70,69,48,66,37,72,1.83,79.8
3594,Torrejón,32,Spain,72,72,1800000,20000,Right,B,C,CB,2019,6.2,194,2900000,42,39,51,56,72,67,1.88,88.0
3595,Rogerinho,31,Brazil,72,72,2700000,18000,Right,A,B,CAM,2019,5.9,154,4500000,82,66,65,75,37,62,1.75,69.9
3596,Zhang Xizhe,27,China PR,72,72,3300000,14000,Right,A,B,RF,2020,5.11,152,7200000,69,66,72,72,43,54,1.8,68.9
3597,Vítor Gomes,30,Portugal,72,72,2900000,9000,Right,B,B,RCM,2019,6.0,179,6000000,57,64,71,68,65,74,1.83,81.2
3598,R. van La Parra,27,Netherlands,72,72,3300000,31000,Right,B,A,LM,2020,5.11,159,6200000,81,60,63,73,38,60,1.8,72.1
3599,V. Le Goff,28,France,72,72,2500000,7000,Left,B,B,LB,2020,5.10,150,4300000,71,58,62,70,67,66,1.78,68.0
3602,H. Goitom,33,Eritrea,72,72,2000000,8000,Right,C,B,LS,2019,6.2,187,2500000,56,70,63,64,45,65,1.88,84.8
3603,T. Howard,39,United States,72,72,210000,3000,Right,B,D,GK,2019,6.3,194,305000,44,18,27,42,14,50,1.91,88.0
3604,C. Obasi,32,Nigeria,72,72,2500000,5000,Right,B,B,ST,2018,6.2,174,3100000,69,69,65,69,44,66,1.88,78.9
3605,G. Fofana,25,France,72,77,3500000,14000,Right,B,B,CDM,2021,6.0,170,7200000,63,59,60,66,67,71,1.83,77.1
3607,D. Linsmayer,26,Germany,72,74,3100000,5000,Left,C,C,RDM,2022,6.0,174,5200000,65,48,59,65,68,76,1.83,78.9
3608,M. Goicoechea,30,Uruguay,72,72,2000000,15000,Right,C,D,GK,2019,6.1,181,4000000,49,18,22,40,20,52,1.85,82.1
3609,Dankler,26,Brazil,72,74,3100000,5000,Right,B,C,RCB,2020,6.1,179,6800000,60,38,44,52,69,75,1.85,81.2
3610,J. Arango,27,Colombia,72,73,3600000,12000,Right,B,A,LS,2023,5.11,181,6200000,77,70,73,69,30,67,1.8,82.1
3611,C. Chimino,30,Argentina,72,72,2200000,11000,Right,C,C,RB,2019,5.10,159,3400000,80,49,55,65,67,72,1.78,72.1
3612,A. Traoré,23,Mali,72,77,4100000,35000,Left,B,B,CM,2020,5.11,159,8100000,68,54,62,70,63,65,1.8,72.1
3613,S. Viera,35,Uruguay,72,72,725000,2000,Right,B,D,GK,2019,6.0,190,1000000,39,16,34,42,16,46,1.83,86.2
3614,L. Montes,32,Mexico,72,72,2400000,21000,Left,B,B,CAM,2021,5.5,148,4100000,66,69,72,74,46,68,1.65,67.1
3615,J. Garro,25,Argentina,72,73,3700000,12000,Right,B,B,LM,2023,5.10,157,5800000,81,64,56,69,31,60,1.78,71.2
3616,A. Warda,24,Egypt,72,75,3900000,1000,Right,A,B,RM,2020,5.10,170,8600000,79,62,71,69,29,43,1.78,77.1
3617,Varela,33,Portugal,72,72,1900000,11000,Right,S,B,LM,2019,5.10,174,3800000,73,74,66,73,44,58,1.78,78.9
3618,M. Cuisance,18,France,72,85,5500000,9000,Left,B,A,CM,2023,5.11,161,12800000,72,66,77,72,52,56,1.8,73.0
3619,J. Mercier,38,Argentina,72,72,425000,6000,Right,B,B,RDM,2019,6.1,172,638000,57,64,70,68,70,68,1.85,78.0
3620,E. Hallfreðsson,34,Iceland,72,72,1500000,12000,Left,B,B,LCM,2020,6.1,190,2700000,58,65,72,69,68,66,1.85,86.2
3621,T. Sušić,26,Bosnia Herzegovina,72,74,3800000,7000,Left,B,A,LCM,2019,6.1,183,5700000,66,68,73,67,49,66,1.85,83.0
3623,N. Bertolo,32,Argentina,72,72,2400000,11000,Right,B,B,LM,2021,5.10,165,3600000,68,66,69,71,40,62,1.78,74.8
3624,K. Nordfeldt,29,Sweden,72,74,2500000,16000,Right,C,D,GK,2020,6.3,187,5000000,53,13,23,40,14,53,1.91,84.8
3626,S. Yago,25,Burkina Faso,72,77,3400000,17000,Right,C,B,RB,2019,5.11,170,7100000,67,45,57,69,69,76,1.8,77.1
3627,Hugo Rubiães,34,Brazil,72,72,950000,18000,Right,B,C,CDM,2021,5.9,165,1800000,70,60,60,69,73,64,1.75,74.8
3628,J. Okore,25,Denmark,72,76,3400000,10000,Right,B,C,RCB,2020,6.0,176,4500000,74,42,48,60,69,82,1.83,79.8
3629,Y. Bammou,26,Morocco,72,73,3700000,18000,Right,B,B,ST,2022,6.2,172,7700000,65,69,66,67,49,74,1.88,78.0
3632,N. Powell,24,England,72,76,4100000,32000,Right,A,B,CAM,2019,6.0,143,8000000,70,68,64,71,48,65,1.83,64.9
3633,O. Alanís,29,Mexico,72,72,2400000,8000,Left,B,C,CB,2020,6.1,165,3900000,43,52,62,57,73,70,1.85,74.8
3634,Carleto Costinha,26,Brazil,72,72,3300000,20000,Right,A,B,RCM,2021,5.9,152,6300000,85,64,70,74,39,50,1.75,68.9
3635,R. Williams,29,Australia,72,72,2400000,15000,Right,A,C,LCB,2019,6.1,172,4000000,61,48,56,64,69,77,1.85,78.0
3636,G. Charbonnier,29,France,72,72,3100000,7000,Right,B,B,ST,2019,6.2,176,5400000,41,71,60,69,35,61,1.88,79.8
3637,J. Egan,25,Republic of Ireland,72,77,3500000,9000,Right,B,C,CB,2022,6.2,165,6900000,65,47,44,61,71,76,1.88,74.8
3639,M. Kosanović,28,Serbia,72,73,2800000,11000,Left,C,C,CB,2020,6.3,187,4500000,49,56,71,60,72,67,1.91,84.8
3640,F. Cerro,30,Argentina,72,72,2900000,10000,Right,B,B,CM,2019,5.10,165,4300000,72,61,65,66,68,78,1.78,74.8
3642,Mauro Riboas,26,Brazil,72,72,3300000,20000,Right,B,B,RAM,2021,5.9,165,6300000,66,69,68,74,40,59,1.75,74.8
3643,Rafael Lopes,26,Portugal,72,73,3700000,7000,Right,A,B,ST,2019,6.1,174,8100000,60,73,46,66,36,78,1.85,78.9
3644,David García,36,Spain,72,72,425000,6000,Right,B,C,RCB,2019,6.0,176,680000,50,45,55,60,70,73,1.83,79.8
3645,A. Mosquera,28,Colombia,72,74,2900000,20000,Right,B,C,CB,2018,5.11,172,5200000,75,40,52,58,70,74,1.8,78.0
3646,O. Idrissi,22,Netherlands,72,79,4400000,11000,Right,C,A,LW,2022,6.0,172,7400000,83,67,66,72,32,66,1.83,78.0
